Title,Subtitle,Author,Publisher,PublicationDate,Pages,Language,Format,Play_CSV,Play_CA,Play_US,Books_com,Books_ca,FrontCoverPreview,Cover_HD_z3,Cover_HD_z2,Books_Search,Books_ISBN_Search,VolumeID_From_Play
Shadows Reforged: The War Isn’t Ove,The Shadows Rise Again,Guillaume Lessard,iD01t Productions,D:2024-12-26,64.0,eng,Digital,https://play.google.com/store/books/details?id=msQ6EQAAQBAJ,https://play.google.com/store/books/details?id=msQ6EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=msQ6EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=msQ6EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=msQ6EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=msQ6EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=msQ6EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=msQ6EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Shadows+Reforged%3A+The+War+Isn%E2%80%99t+Ove+Guillaume+Lessard,,msQ6EQAAQBAJ
Understanding Your Cat’s Mind,Beyond the Veil: The Ultimate Guide to Feline Consciousness and Human Connection,Guillaume Lessard,iD01t Productions,D:2025-08-30,232.0,eng,Digital,https://play.google.com/store/books/details?id=33eCEQAAQBAJ,https://play.google.com/store/books/details?id=33eCEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=33eCEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=33eCEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=33eCEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=33eCEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=33eCEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=33eCEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Understanding+Your+Cat%E2%80%99s+Mind+Guillaume+Lessard,,33eCEQAAQBAJ
Legacy of Shadows,The Final Betrayal and a Love Unbreakable,Guillaume Lessard,iD01t Productions,D:2024-12-15,27.0,eng,Digital,https://play.google.com/store/books/details?id=OQo4EQAAQBAJ,https://play.google.com/store/books/details?id=OQo4EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=OQo4EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=OQo4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=OQo4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=OQo4EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=OQo4EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=OQo4EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Legacy+of+Shadows+Guillaume+Lessard,,OQo4EQAAQBAJ
Maîtrise des Échecs : Guide du pro pour des stratégies et des techniques gagnantes,"Édition 2, étendue et mise à jour pour le jeu moderne",Guillaume Lessard,iD01t Productions,D:2025-08-15,134.0,fre,Digital,https://play.google.com/store/books/details?id=uQ5-EQAAQBAJ,https://play.google.com/store/books/details?id=uQ5-EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=uQ5-EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=uQ5-EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=uQ5-EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=uQ5-EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=uQ5-EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=uQ5-EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Ma%C3%AEtrise+des+%C3%89checs+%3A+Guide+du+pro+pour+des+strat%C3%A9gies+et+des+techniques+gagnantes+Guillaume+Lessard,,uQ5-EQAAQBAJ
Mastering Photoshop: The Complete Guide to Every Version,From Basics to Advanced Techniques with Hands-On Exercises and Projects,Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEAqV0IXeM,https://play.google.com/store/books/details?id=AQAAAEAqV0IXeM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEAqV0IXeM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEAqV0IXeM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEAqV0IXeM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEAqV0IXeM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEAqV0IXeM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEAqV0IXeM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Mastering+Photoshop%3A+The+Complete+Guide+to+Every+Version+Guillaume+Lessard,,AQAAAEAqV0IXeM
AI Cash Empire,How to Build Automated Income Streams with AI Tools,Guillaume Lessard,iD01t Productions,D:2025-08-24,187.0,eng,Digital,https://play.google.com/store/books/details?id=KbmAEQAAQBAJ,https://play.google.com/store/books/details?id=KbmAEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=KbmAEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=KbmAEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=KbmAEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=KbmAEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=KbmAEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=KbmAEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=AI+Cash+Empire+Guillaume+Lessard,,KbmAEQAAQBAJ
Mastering Chess Intuition,The Hidden Patterns Every Grandmaster Sees,Guillaume Lessard,iD01t Productions,D:2025-08-30,228.0,eng,Digital,https://play.google.com/store/books/details?id=rWuCEQAAQBAJ,https://play.google.com/store/books/details?id=rWuCEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=rWuCEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=rWuCEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=rWuCEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=rWuCEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=rWuCEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=rWuCEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Mastering+Chess+Intuition+Guillaume+Lessard,,rWuCEQAAQBAJ
The Frequency Blueprint,"Healing Technologies of Water, Sound, and Sacred Geometry",Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEBK5yanfM,https://play.google.com/store/books/details?id=AQAAAEBK5yanfM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEBK5yanfM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEBK5yanfM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEBK5yanfM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEBK5yanfM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEBK5yanfM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEBK5yanfM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=The+Frequency+Blueprint+Guillaume+Lessard,,AQAAAEBK5yanfM
"The Adventure of iD01t Productions: A Story of Passion, Resilience and Creativity","Create, innovate and grow solo, while drawing inspiration from life.",Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEAKWi0aNM,https://play.google.com/store/books/details?id=AQAAAEAKWi0aNM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEAKWi0aNM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEAKWi0aNM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEAKWi0aNM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEAKWi0aNM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEAKWi0aNM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEAKWi0aNM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=The+Adventure+of+iD01t+Productions%3A+A+Story+of+Passion%2C+Resilience+and+Creativity+Guillaume+Lessard,,AQAAAEAKWi0aNM
Windows Zero to Hero,Mastering the World's Most Popular Operating System for Beginners and Experts,Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEDyQzUD1M,https://play.google.com/store/books/details?id=AQAAAEDyQzUD1M&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEDyQzUD1M&gl=US&hl=en,https://books.google.com/books?id=AQAAAEDyQzUD1M&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEDyQzUD1M&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEDyQzUD1M&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEDyQzUD1M&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEDyQzUD1M&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Windows+Zero+to+Hero+Guillaume+Lessard,,AQAAAEDyQzUD1M
DIY Digital Skills: Build a Career in Tech from Scratch,"Master the Foundations of Tech, Learn to Code, and Unlock High-Paying Digital Careers.",Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEAKGDBYKM,https://play.google.com/store/books/details?id=AQAAAEAKGDBYKM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEAKGDBYKM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEAKGDBYKM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEAKGDBYKM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEAKGDBYKM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEAKGDBYKM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEAKGDBYKM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=DIY+Digital+Skills%3A+Build+a+Career+in+Tech+from+Scratch+Guillaume+Lessard,,AQAAAEAKGDBYKM
Rising from the Ashes: A Comprehensive Guide to Recovery after the Hollywood Hills Fire 2025,"Practical Steps, Resources, and Inspiring Stories for Rebuilding Your Life After a Wildfire Disaster",Guillaume Lessard,iD01t Productions,D:2025-01-09,64.0,eng,Digital,https://play.google.com/store/books/details?id=ios9EQAAQBAJ,https://play.google.com/store/books/details?id=ios9EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=ios9EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=ios9EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=ios9EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=ios9EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=ios9EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=ios9EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Rising+from+the+Ashes%3A+A+Comprehensive+Guide+to+Recovery+after+the+Hollywood+Hills+Fire+2025+Guillaume+Lessard,,ios9EQAAQBAJ
Den Verstand Ihrer Katze verstehen,"Katzenverhalten verstehen, Probleme lösen und die Bindung zwischen Mensch und Katze stärken",Guillaume Lessard,iD01t Productions,D:2025-09-01,129.0,eng,Digital,https://play.google.com/store/books/details?id=YRmDEQAAQBAJ,https://play.google.com/store/books/details?id=YRmDEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=YRmDEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=YRmDEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=YRmDEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=YRmDEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=YRmDEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=YRmDEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Den+Verstand+Ihrer+Katze+verstehen+Guillaume+Lessard,,YRmDEQAAQBAJ
Leo XIV: The First American Pope,A Historic Journey from Chicago to the Vatican,Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEBKDQpNUM,https://play.google.com/store/books/details?id=AQAAAEBKDQpNUM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEBKDQpNUM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEBKDQpNUM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEBKDQpNUM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEBKDQpNUM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEBKDQpNUM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEBKDQpNUM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Leo+XIV%3A+The+First+American+Pope+Guillaume+Lessard,,AQAAAEBKDQpNUM
The Artifact’s Whisper,"A Tale of Love, Betrayal, and the Secrets of Time",Guillaume Lessard,iD01t Productions,D:2024-12-21,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEDyQ1QDtM,https://play.google.com/store/books/details?id=AQAAAEDyQ1QDtM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEDyQ1QDtM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEDyQ1QDtM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEDyQ1QDtM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEDyQ1QDtM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEDyQ1QDtM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEDyQ1QDtM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=The+Artifact%E2%80%99s+Whisper+Guillaume+Lessard,,AQAAAEDyQ1QDtM
Jesus: The Eternal Legacy,"A Journey Through His Life, Teachings, and Everlasting Impact on Humanity",Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEDyYykjyM,https://play.google.com/store/books/details?id=AQAAAEDyYykjyM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEDyYykjyM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEDyYykjyM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEDyYykjyM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEDyYykjyM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEDyYykjyM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEDyYykjyM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Jesus%3A+The+Eternal+Legacy+Guillaume+Lessard,,AQAAAEDyYykjyM
Panneaux Solaires Organiques : L’Énergie Vivante du Futur,"Comprendre, construire et maîtriser les technologies photovoltaïques organiques flexibles et écologiques",Guillaume Lessard,iD01t Productions,D:2025-06-19,48.0,eng,Digital,https://play.google.com/store/books/details?id=BgdnEQAAQBAJ,https://play.google.com/store/books/details?id=BgdnEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=BgdnEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=BgdnEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=BgdnEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=BgdnEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=BgdnEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=BgdnEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Panneaux+Solaires+Organiques+%3A+L%E2%80%99%C3%89nergie+Vivante+du+Futur+Guillaume+Lessard,,BgdnEQAAQBAJ
Bridging Worlds: A Practical Guide to Connecting with Parallel Energies and Dimensions,How Ordinary People Can Explore Hidden Realities and Deepen Their Human Connections,Guillaume Lessard,iD01t Productions,D:2025-03-02,29.0,eng,Digital,https://play.google.com/store/books/details?id=pXdLEQAAQBAJ,https://play.google.com/store/books/details?id=pXdLEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=pXdLEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=pXdLEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=pXdLEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=pXdLEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=pXdLEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=pXdLEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Bridging+Worlds%3A+A+Practical+Guide+to+Connecting+with+Parallel+Energies+and+Dimensions+Guillaume+Lessard,,pXdLEQAAQBAJ
